ProjectName,Is ML producer,libraries,where,keywords,line_number
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,.train.,44
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,.fit(,123
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,fit(,123
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,.fit(,123
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,.fit(,140
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,fit(,140
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train.py,.fit(,140
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train_backbone.py,.train.,109
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train_backbone.py,.fit(,117
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train_backbone.py,fit(,117
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\train_backbone.py,.fit(,117
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,33
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,36
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,38
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,40
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,42
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,44
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,46
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\voc_annotation.py,.train.,48
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo.py,.train.,98
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo3\train.py,train_step(,17
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo3\train.py,training=True,24
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo3\train.py,training=True,36
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo3\train.py,.train.,42
fsx950223/mobilenetv2-yolov3,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\fsx950223\mobilenetv2-yolov3\yolo3\train.py,fit(,78
