ProjectName,Is ML producer,libraries,where,keywords,line_number
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\base.py,.fit(,65
hackingmaterials/automatminer,Yes,tpot,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\adaptors.py,.fit(,137
hackingmaterials/automatminer,Yes,tpot,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\adaptors.py,.fit(,325
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,31
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,44
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit_transform(,52
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,61
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,82
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,94
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,107
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_adaptors.py,.fit(,126
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_base.py,.fit(,108
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\automl\tests\test_base.py,.fit_transform(,123
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\core.py,.fit(,202
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\core.py,.fit_transform(,449
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\core.py,.fit_transform(,599
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\core.py,.fit(,676
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\feature_selection.py,.fit(,94
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\feature_selection.py,.fit_transform(,191
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\feature_selection.py,.fit_transform(,219
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\preprocessing\feature_selection.py,.fit(,226
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_base.py,.fit(,81
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_base.py,.fit_transform(,89
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,103
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,113
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,128
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,145
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,193
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\tests\test_pipeline.py,.fit(,211
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer\utils\tests\test_pkg.py,.fit(,60
hackingmaterials/automatminer,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\hackingmaterials\automatminer\automatminer_dev\graphnet\cgcnn.py,.fit(,144
