ProjectName,Is ML producer,libraries,where,keywords,line_number
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\calorie_prediction.py,.fit_transform(,41
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\calorie_prediction.py,.fit(,42
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\kmeans.py,.fit(,35
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\kmeans.py,.fit(,53
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\KMeans_CuisinePrediction.ipynb,.fit(,112
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\KMeans_CuisinePrediction.ipynb,.fit(,191
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\KMeans_CuisinePrediction.py,.fit(,35
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\KMeans_CuisinePrediction.py,.fit(,53
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\retrain.py,.train.,716
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\retrain.py,.train.,795
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\retrain.py,.train.,797
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\train_model.py,.fit_transform(,43
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\train_model.py,.fit(,44
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\extraneous\irisWithDifferentClassifiers.ipynb,.fit(,80
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\extraneous\irisWithDifferentClassifiers.ipynb,.fit(,80
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\jubins\DeepLearning-Food-Image-Recognition-And-Calorie-Estimation\Code\extraneous\irisWithDifferentClassifiers.ipynb,fit(,80
