ProjectName,Is ML producer,libraries,where,keywords,line_number
msracver/Deep-Exemplar-based-Colorization,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\colorization_subnet\models\ExampleColorNet.py,def forward(,58
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\01-learning-lenet.ipynb,.step(,521
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\01-learning-lenet.ipynb,.step(,616
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\01-learning-lenet.ipynb,.step(,1235
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\02-fine-tuning.ipynb,.step(,647
msracver/Deep-Exemplar-based-Colorization,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\brewing-logreg.ipynb,.fit(,116
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\brewing-logreg.ipynb,.solve(,297
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\brewing-logreg.ipynb,.solve(,714
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\pascal-multilabel-with-datalayer.ipynb,.step(,229
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\msracver\Deep-Exemplar-based-Colorization\similarity_subnet\examples\pascal-multilabel-with-datalayer.ipynb,.step(,334
