ProjectName,Is ML producer,libraries,where,keywords,line_number
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,114
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,118
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,416
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,482
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,534
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,538
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,621
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,622
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,688
noahfl/densenet-sdr,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\noahfl\densenet-sdr\models\dense_net.py,.train.,689
