ProjectName,Is ML producer,libraries,where,keywords,line_number
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\evaluate_classifier.py,.train.,66
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\evaluate_from_files.py,.train.,69
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\evaluate_SNET.py,.train.,90
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\infer_progressiveNet.py,.train.,80
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_classifier.py,.train.,72
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_classifier.py,.train.,83
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_classifier.py,.train.,119
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_classifier.py,.train.,121
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_classifier.py,.train.,125
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_progressiveNet.py,.train.,85
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_progressiveNet.py,.train.,96
orendv/learning_to_sample,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\orendv\learning_to_sample\classification\train_progressiveNet.py,.train.,168
