ProjectName,Is ML producer,libraries,where,keywords,line_number
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\dcgan\main.py,def forward(,153
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\dcgan\main.py,def forward(,194
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\dcgan\main.py,.backward(,236
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\dcgan\main.py,.backward(,245
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\dcgan\main.py,.backward(,257
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\example.py,def forward(,21
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\example.py,.backward(,47
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\main.py,def forward(,31
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\main.py,.backward(,49
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\main.py,.backward(,91
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\main.py,def forward(,113
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp\main.py,.backward(,137
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multigpu.py,.backward(,44
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multigpu.py,.train(,91
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multigpu_torchrun.py,.backward(,50
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multigpu_torchrun.py,.train(,99
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multinode.py,.backward(,51
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\multinode.py,.train(,100
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\single_gpu.py,.backward(,26
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\ddp-tutorial-series\single_gpu.py,.train(,70
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP\utils\train_utils.py,.train(,36
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP\utils\train_utils.py,.train(,36
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP\utils\train_utils.py,.backward(,52
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP\utils\train_utils.py,.backward(,52
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP2\model.py,def forward(,32
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP2\model.py,def forward(,68
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP2\model.py,def forward(,86
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP2\model.py,def forward(,116
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\FSDP2\train.py,.backward(,84
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\minGPT-ddp\mingpt\main.py,.train(,39
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\minGPT-ddp\mingpt\model.py,def forward(,55
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\minGPT-ddp\mingpt\model.py,def forward(,75
pytorch/examples,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\pytorch\examples\distributed\minGPT-ddp\mingpt\model.py,def forward(,91
