ProjectName,Is ML producer,libraries,where,keywords,line_number
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\base.py,def forward(,81
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\discriminators.py,def forward(,111
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\dsp.py,def forward(,84
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\dsp.py,def forward(,132
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\mdn.py,def forward(,45
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\model.py,def forward(,50
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\model.py,def forward(,149
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\model.py,def forward(,321
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\model.py,def forward(,382
r9y9/nnsvs,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\r9y9\nnsvs\nnsvs\model.py,def forward(,504
