ProjectName,Is ML producer,libraries,where,keywords,line_number
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\ai_challenge\evaluate_enhancement.py,.train.,47
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\ai_challenge\evaluate_enhancement.py,.train.,54
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\demo\MEON_demo.py,.train.,197
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\demo\MEON_demo.py,.train.,262
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\loss\MEON_loss.py,.train.,198
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\loss\MEON_loss.py,.train.,223
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\inference.py,.train.,44
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\inference.py,.train.,81
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_baseline.py,.train.,57
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_baseline.py,.train.,74
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_baseline.py,.train.,75
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_baseline.py,.train.,77
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_baseline.py,.train.,105
ranjiewwen/TF_EnhanceDPED,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\ranjiewwen\TF_EnhanceDPED\tools\train_net++.py,.train.,44
