ProjectName,Is ML producer,libraries,where,keywords,line_number
slundberg/shap,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\docs\notebooks\plots\data\crime.py,.fit(,16
slundberg/shap,Yes,lightgbm,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\api_examples\plots\decision_plot.ipynb,.train(,89
slundberg/shap,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\api_examples\plots\decision_plot.ipynb,.fit(,919
slundberg/shap,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\benchmarks\tabular\Benchmark XGBoost explanations.ipynb,.fit(,83
slundberg/shap,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\benchmarks\tabular\Benchmark XGBoost explanations.ipynb,.fit(,326
slundberg/shap,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\benchmarks\tabular\Tabular Prediction Benchmark Demo.ipynb,.fit(,75
slundberg/shap,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\image_examples\image_classification\Front Page DeepExplainer MNIST Example.ipynb,.fit(,191
slundberg/shap,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\image_examples\image_classification\Multi-input Gradient Explainer MNIST Example.ipynb,.fit(,72
slundberg/shap,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\image_examples\image_classification\Multi-input Gradient Explainer MNIST Example.ipynb,fit(,72
slundberg/shap,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\image_examples\image_classification\Multi-input Gradient Explainer MNIST Example.ipynb,.fit(,72
slundberg/shap,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\slundberg\shap\notebooks\image_examples\image_classification\PyTorch Deep Explainer MNIST example.ipynb,def forward(,82
