ProjectName,Is ML producer,libraries,where,keywords,line_number
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\sequence_labeling_run.py,.train(,154
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,147
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,148
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,149
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,150
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,415
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,417
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,419
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,432
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\att_crf.py,.train.,434
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,66
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,68
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,102
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,106
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,122
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,124
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,127
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,131
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,135
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\base_model.py,.train.,138
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,147
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,148
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,149
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,150
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,406
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,408
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,410
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,423
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_crf.py,.train.,425
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_softmax.py,.train.,146
stevezheng23/sequence_labeling_tf,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\stevezheng23\sequence_labeling_tf\sequence_labeling\model\seq_softmax.py,.train.,147
