ProjectName,Is ML producer,libraries,where,keywords,line_number
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,344
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,439
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,494
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,588
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,733
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,893
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,985
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,1127
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\main2018.ipynb,.fit(,1251
tfunck/minc_keras,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\tfunck\minc_keras\make_and_run_model.py,.fit(,171
