ProjectName,Is ML producer,libraries,where,keywords,line_number
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\copy_model.py,def forward(,187
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\loss.py,def forward(,30
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\loss.py,def forward(,63
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,27
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,70
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,112
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,159
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,204
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\modules.py,def forward(,263
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\trainer.py,.train(,54
yuhaozhang/summarize-radiology-findings,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yuhaozhang\summarize-radiology-findings\model\trainer.py,.backward(,62
