ProjectName,Is ML producer,libraries,where,keywords,line_number
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\densenet121_cifar10_beginner.py,.fit(,97
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\densenet121_cifar10_beginner.py,fit(,97
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\densenet121_cifar10_beginner.py,.fit(,97
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\dqn_cartpole.py,def train_step(,120
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\dqn_cartpole.py,train_step(,120
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\dqn_cartpole.py,train_step(,207
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_attention.py,def train_step(,96
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_attention.py,train_step(,96
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_attention.py,train_step(,189
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_lstm.py,def train_step(,100
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_lstm.py,train_step(,100
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\encoder_decoder_lstm.py,train_step(,193
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\gan_fashion_mnist.py,def train_step(,117
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\gan_fashion_mnist.py,train_step(,117
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\gan_fashion_mnist.py,train_step(,200
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist.py,def train_step(,44
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist.py,train_step(,44
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist.py,train_step(,100
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist_beginner.py,.fit(,43
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist_beginner.py,fit(,43
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\lenet_mnist_beginner.py,.fit(,43
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\logistic_regression_mnist.py,def train_step(,27
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\logistic_regression_mnist.py,train_step(,27
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\logistic_regression_mnist.py,train_step(,83
yusugomori/deeplearning-tf2,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\yusugomori\deeplearning-tf2\models\logistic_regression_mnist_beginner.py,.fit(,34
