ProjectName,Is ML producer,libraries,where,keywords,line_number
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\model_im2txt.py,.train.,267
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\model_im2txt.py,.train.,331
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\model_im2txt.py,.train.,342
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\model_im2txt.py,.train.,352
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\model_im2txt.py,training=True,365
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\run_inference_im2txt_batch.py,.train.,94
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\run_inference_im2txt_batch.py,.train.,98
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\run_inference_im2txt_batch.py,.train.,102
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,525
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,530
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,619
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,620
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,621
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,623
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,626
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\train_im2txt2im_coco_64.py,.train.,627
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\_rnn_encoder_tsne.py,.train.,165
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\_rnn_encoder_tsne.py,.train.,169
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\_rnn_encoder_tsne.py,.train.,173
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\files.py,.train.,280
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,418
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,800
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,802
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,2587
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,2667
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,4893
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\layers.py,.train.,4906
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\nlp.py,.train.,517
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\rein.py,.train.,64
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\utils.py,fit(,11
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\utils.py,.train.,23
zsdonghao/im2txt2im,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\zsdonghao\im2txt2im\tensorlayer\utils.py,fit(,49
