ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\detector_webserver\train_keras_retinanet.py,,336,keras,.fit_generator(
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\kerasmodels\retrain.py,,353,keras,.fit_generator(
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\kerasmodels\retrain.py,,392,keras,.fit_generator(
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,37,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,38,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,88,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,146,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,147,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,169,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\AugmentationPipeline.py,,170,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\Jpg2TFRecords.py,,41,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\Jpg2TFRecords.py,,44,tensorflow,.train.
repos2/921kiyo,Yes,C:\Users\Cristian\PycharmProjects\MARK-IGES-Project\MARK-Tool\MARK-Tool\Categorizer\src\../../repos\repos2\921kiyo\3d-dl\Planning\Jpg2TFRecords.py,,52,tensorflow,.train.
