library,Keyword,ML_Category,Link
accelerate,Accelerator(,Producer,https://huggingface.co/docs/accelerate/basic_tutorials/migration
accelerate,.prepare(,Producer,https://huggingface.co/docs/accelerate/basic_tutorials/migration
accelerate,.backward(,Producer,https://huggingface.co/docs/accelerate/basic_tutorials/migration
accelerate,.accumulate(,Producer,https://huggingface.co/docs/accelerate/basic_tutorials/migration
ampligraph,.fit(,Producer,https://docs.ampligraph.org/en/latest/generated/ampligraph.latent_features.ScoringBasedEmbeddingModel.html#ampligraph.latent_features.ScoringBasedEmbeddingModel.fit
ampligraph,.train_step(,Producer,https://docs.ampligraph.org/en/latest/generated/ampligraph.latent_features.ScoringBasedEmbeddingModel.html#ampligraph.latent_features.ScoringBasedEmbeddingModel.train_step
anago,.fit(,Producer,https://github.com/Hironsan/anago/blob/master/docs/docs/usage.md
anago,.train(,Producer,https://github.com/Hironsan/anago/blob/master/examples/elmo_example.py
anago,.fit_generator(,Producer,https://github.com/Hironsan/anago/blob/master/anago/trainer.py
autogluon,.fit(,Producer,https://auto.gluon.ai/stable/tutorials/tabular/tabular-essentials.html
autogluon,.fit_extra(,Producer,https://auto.gluon.ai/stable/api/autogluon.tabular.TabularPredictor.fit_extra.html
autogluon,.fit_transform(,Producer,https://auto.gluon.ai/stable/api/autogluon.features.html
autogluon,.fit_pseudolabel(,Producer,https://auto.gluon.ai/stable/api/autogluon.tabular.TabularPredictor.fit_pseudolabel.html
autogluon,.fit_weighted_ensemble(,Producer,https://auto.gluon.ai/stable/api/autogluon.tabular.TabularPredictor.fit_weighted_ensemble.html
autogluon,.predict_multi(,Producer,https://auto.gluon.ai/stable/api/autogluon.tabular.TabularPredictor.predict_multi.html
autosklearn,.fit(,Producer,https://automl.github.io/auto-sklearn/master/
autosklearn,.fit_ensemble(,Producer,https://automl.github.io/auto-sklearn/master/api.html#classification
autosklearn,.fit_pipeline(,Producer,https://automl.github.io/auto-sklearn/master/api.html#classification
autosklearn,.refit(,Producer,https://automl.github.io/auto-sklearn/master/api.html#classification
botorch,.fit(,Producer,https://botorch.org/api/fit.html
botorch,.train(,Producer,https://botorch.org/api/_modules/botorch/models/multitask.html#KroneckerMultiTaskGP.train
botorch,.fit(,Producer,https://botorch.org/api/fit.html
botorch,.train(,Producer,https://botorch.org/api/_modules/botorch/models/multitask.html#KroneckerMultiTaskGP.train
caffe,.solve(,Producer,https://github.com/BVLC/caffe/blob/master/docs/tutorial/interfaces.md
caffe,.step(,Producer,https://github.com/BVLC/caffe/blob/master/docs/tutorial/interfaces.md
caffe2,.train(,Producer,https://caffe2.ai/doxygen-python/html/namespacetrain.html
catboost,.fit(,Producer,https://catboost.ai/en/docs/features/training
catboost,.train(,Producer,https://catboost.ai/en/docs/features/training
