ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
0411tony/Yue,ID1,Tool,98.0,227.0,21.0,164.0,2.0,2585.0,0.0712733594089526,2.0
1adrianb/face-alignment,ID1,Tool,6817.0,5412.0,1328.0,220.0,21.0,2687.0,0.0906842539159109,21.0
a1600012888/YOPO-You-Only-Propagate-Once,ID1,Tool,175.0,788.0,31.0,43.0,3.0,2093.0,0.0235229759299781,3.0
a2i2/surround,ID1,Tool,22.0,1547.0,28.0,912.0,9.0,2233.0,0.5428571428571428,9.0
aarcosg/traffic-sign-detection,ID1,Tool,314.0,7423.0,98.0,13.0,1.0,2513.0,0.0057906458797327,1.0
Aayush-Ankit/puma-simulator,ID1,Tool,42.0,93012.0,43.0,177.0,9.0,2793.0,0.0702659785629218,9.0
abadojack/whatlanggo,ID1,Tool,630.0,246.0,63.0,34.0,7.0,2894.0,0.0129425199847735,7.0
Accenture/AmpliGraph,ID1,Tool,2095.0,31894.0,250.0,1631.0,13.0,2206.0,0.8394235717961914,13.0
achaiah/pywick,ID1,Tool,395.0,1445.0,39.0,149.0,3.0,2131.0,0.081688596491228,3.0
AcrylicShrimp/TinNet,ID1,Tool,16.0,12626.0,0.0,205.0,1.0,2730.0,0.0837076357697019,1.0
adalca/neuron,ID1,Tool,316.0,795.0,65.0,767.0,11.0,2876.0,0.2935323383084577,11.0
AdamSpannbauer/lexRankr,ID1,Tool,21.0,763.0,4.0,153.0,2.0,3101.0,0.055656602400873,2.0
AdamStelmaszczyk/gtsa,ID1,Tool,83.0,646.0,20.0,637.0,1.0,3413.0,0.2066169315601686,1.0
AdaptiveMachineLearning/artml,ID1,Tool,20.0,2530.0,14.0,110.0,3.0,2389.0,0.0862068965517241,3.0
adhaamehab/arabicnlp,ID1,Tool,24.0,16534.0,5.0,54.0,4.0,2154.0,0.0311059907834101,4.0
adhaamehab/textblob-ar,ID1,Tool,82.0,4448.0,25.0,35.0,5.0,2448.0,0.0182863113897596,5.0
adines/DeepClas4Bio,ID1,Tool,7.0,708.0,1.0,38.0,1.0,2425.0,0.018155757286192,1.0
Adnios/Tensorflow,ID1,Tool,147.0,242531.0,74.0,8.0,1.0,2126.0,0.0046403712296983,1.0
adrien2p/nestjs-dialogflow,ID1,Tool,72.0,2033.0,14.0,131.0,5.0,2453.0,0.0626794258373205,5.0
affinis-lab/traffic-light-detection-module,ID1,Tool,36.0,26792.0,21.0,19.0,1.0,2169.0,0.0101495726495726,1.0
afruehstueck/tileGAN,ID1,Tool,222.0,8470.0,18.0,37.0,2.0,2131.0,0.0198924731182795,2.0
ageitgey/face_recognition,ID1,Tool,51851.0,103959.0,13289.0,238.0,30.0,2883.0,0.0907704042715484,49.0
ahmed-mez/keras-rest-API,ID1,Tool,14.0,2461.0,2.0,16.0,1.0,2450.0,0.0126083530338849,1.0
ai-med/quickNAT_pytorch,ID1,Tool,99.0,358522.0,35.0,97.0,5.0,2436.0,0.0459062943681968,5.0
Aifred-Health/Vulcan-Old,ID1,Tool,10.0,347.0,4.0,233.0,7.0,2911.0,0.2108597285067873,7.0
aiscientist/nlp_ryan,ID1,Tool,35.0,326341.0,15.0,99.0,1.0,2819.0,0.0434973637961335,1.0
aisolab/CS20,ID1,Tool,62.0,2471.0,27.0,271.0,1.0,2468.0,0.1391170431211499,1.0
akar43/lsm,ID1,Tool,249.0,941.0,62.0,43.0,2.0,2641.0,0.018290089323692,2.0
akosiorek/forge,ID1,Tool,92.0,1655.0,14.0,36.0,3.0,2268.0,0.0183392766174223,3.0
akoumjian/datefinder,ID1,Tool,625.0,537.0,164.0,180.0,14.0,3309.0,0.0594648166501486,14.0
akoury/ml-helper,ID1,Tool,10.0,12266.0,0.0,30.0,2.0,2164.0,0.0375469336670838,2.0
aksnzhy/xforest,ID1,Tool,4.0,13.0,0.0,5.0,1.0,775.0,0.0130548302872062,1.0
aksnzhy/xlearn,ID1,Tool,3077.0,11184.0,519.0,1342.0,25.0,2784.0,0.5325396825396825,25.0
alan-turing-institute/MLJ.jl,ID1,Tool,1723.0,43205.0,156.0,2587.0,30.0,2367.0,1.228395061728395,65.0
alan-turing-institute/MLJModels.jl,ID1,Tool,77.0,1856.0,27.0,1235.0,24.0,2184.0,0.6435643564356436,24.0
alan-turing-institute/skpro,ID1,Tool,189.0,10156.0,37.0,387.0,16.0,2691.0,0.1592592592592592,18.0
alan-turing-institute/sktime,ID1,Tool,7429.0,68145.0,1285.0,4562.0,30.0,2270.0,2.2707814833250373,349.0
albu/albumentations,ID1,Tool,13460.0,102607.0,1593.0,895.0,30.0,2423.0,0.4139685476410731,137.0
alexanderkroner/saliency,ID1,Tool,169.0,10205.0,44.0,37.0,1.0,2166.0,0.0195250659630606,1.0
alexandra-chron/ntua-slp-wassa-iest2018,ID1,Tool,33.0,17321.0,9.0,105.0,3.0,2414.0,0.0532184490623416,3.0
alfredfrancis/ai-chatbot-framework,ID1,Tool,1920.0,13350.0,706.0,412.0,21.0,2960.0,0.1528189910979228,21.0
algorithmfoundry/Foundry,ID1,Tool,131.0,19827.0,41.0,378.0,5.0,4029.0,0.1060011217049915,5.0
alibaba/euler,ID1,Tool,2876.0,2607.0,558.0,8.0,3.0,2205.0,0.0041237113402061,3.0
Allardvm/LightGBM.jl,ID1,Tool,40.0,85.0,9.0,85.0,2.0,3009.0,0.034793286942284,2.0
allenai/allennlp,ID1,Tool,11698.0,74709.0,2243.0,2719.0,30.0,2810.0,1.0666928207140054,249.0
allisterb/ClassifyBot,ID1,Tool,20.0,311.0,6.0,82.0,1.0,2517.0,0.0370537731586082,1.0
alvations/wordnet,ID1,Tool,0.0,80813.0,0.0,91.0,1.0,1939.0,3.7916666666666665,1.0
am1tyadav/Neural-Network-from-Scratch-Python,ID1,Tool,31.0,278.0,16.0,54.0,3.0,2231.0,0.0285412262156448,3.0
amadeus4dev/amadeus-java,ID1,Tool,81.0,1424.0,68.0,568.0,19.0,2484.0,0.255510571300045,19.0
