ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
921kiyo/3d-dl,ID1,Applied,53,337104,20,833.0,6,2371,0.402609956500725,6.0
adobe/antialiased-cnns,ID1,Applied,1642,77815,207,239.0,3,2081,0.1314631463146314,3.0
afagarap/wisconsin-breast-cancer,ID1,Applied,56,7942,26,134.0,2,2691,0.0554865424430641,2.0
aftaab99/offlinesignatureverification,ID1,Applied,77,1861,29,68.0,3,2245,0.0343087790110998,3.0
agiletechvn/opencv-starterkit,ID1,Applied,10,569446,4,89.0,2,2221,0.0789707187222715,2.0
aimagelab/novelty-detection,ID1,Applied,196,491,59,29.0,3,2261,0.0147357723577235,3.0
akanimax/bmsg-gan,ID1,Applied,628,160952,103,52.0,3,2220,0.0269151138716356,3.0
aldro61/mmit,ID1,Applied,7,830,7,576.0,7,2879,0.3422459893048128,7.0
alecwangcq/eigendamage-pytorch,ID1,Applied,111,164,19,11.0,2,2084,0.0064743967039434,2.0
alenk123/v.a.silly,ID1,Applied,9,9249,0,58.0,1,2175,0.1102661596958174,1.0
alexander-rakhlin/iciar2018,ID1,Applied,189,4780,72,39.0,3,2558,0.0171957671957671,3.0
alexemg/deeplabcut,ID1,Applied,4303,172821,1603,1476.0,30,2495,0.6606982990152194,107.0
alexjc/neural-imagen,ID1,Applied,686,4422,32,162.0,1,2329,0.0786407766990291,1.0
aliaksandrsiarohin/monkey-net,ID1,Applied,461,114974,83,198.0,6,2402,0.0930888575458392,6.0
alireza-akhavan/deep-face-recognition,ID1,Applied,218,65295,86,33.0,2,2154,0.0176093916755602,2.0
allencellmodeling/pytorch_integrated_cell,ID1,Applied,43,130806,11,461.0,2,2835,0.1791682860474154,2.0
amansrivastava17/lstm-siamese-text-similarity,ID1,Applied,280,71,90,33.0,3,2498,0.0148984198645598,3.0
aminehorseman/facial-expression-recognition-using-cnn,ID1,Applied,436,477,143,45.0,2,2556,0.0197281893906181,2.0
anastasios-stamoulis/deep-learning-with-csharp-and-cntk,ID1,Applied,119,88901,48,32.0,1,2543,0.0144600090375056,1.0
amzn/emukit,ID1,Applied,565,16367,127,385.0,30,2333,0.1858108108108108,30.0
angzz/panoptic-fpn-gluon,ID1,Applied,59,4574,9,38.0,1,2092,0.0217640320733104,1.0
anmol-singh-jaggi/sign-language-recognition,ID1,Applied,125,1796,42,18.0,1,3138,0.006282722513089,1.0
annusgit/forestcoverchange,ID1,Applied,27,382518,7,193.0,2,2389,0.0925659472422062,2.0
antiaegis/human-segmentation-pytorch,ID1,Applied,542,4868,114,90.0,1,2146,0.0477707006369426,1.0
anurag14/accessfaceid,ID1,Applied,18,124387,5,148.0,1,2098,0.0849598163030998,1.0
apacha/mensural-detector,ID1,Applied,11,114538,6,142.0,2,2415,0.0778935820076796,2.0
apacha/musicscoreclassifier,ID1,Applied,17,117,9,113.0,1,2837,0.0440202571094663,1.0
apacha/musicsymbolclassifier,ID1,Applied,32,6257,9,452.0,3,2809,0.1776729559748427,3.0
appinho/sacomputervisionmachinelearning,ID1,Applied,40,278891,15,57.0,1,2709,0.0238393977415307,1.0
apple/turicreate,ID1,Applied,11158,320718,1134,1571.0,30,2610,0.6687952320136228,71.0
aqlaboratory/rgn,ID1,Applied,326,36414,89,70.0,2,2509,0.0314606741573033,2.0
araffin/srl-zoo,ID1,Applied,160,4728,18,558.0,6,2642,0.2370433305012744,6.0
ardamavi/dog-cat-classifier,ID1,Applied,126,35664,67,35.0,1,2804,0.0137741046831955,1.0
arunponnusamy/gender-detection-keras,ID1,Applied,184,4488,70,25.0,1,2426,0.0115687181860249,1.0
astorfi/sequence-to-sequence-from-scratch,ID1,Applied,118,15159,22,99.0,1,2307,0.0528846153846153,1.0
astrazeneca-cgr-publications/mantis-ml-release,ID1,Applied,25,286864,9,171.0,1,2067,0.09867282169648,1.0
atomistic-machine-learning/schnetpack,ID1,Applied,730,40610,208,1654.0,29,2334,0.7990338164251207,29.0
autonomio/talos,ID1,Applied,1616,3214,270,671.0,17,2456,0.3056947608200455,17.0
avinashpaliwal/super-slomo,ID1,Applied,2968,27529,478,59.0,7,2221,0.0301020408163265,7.0
aws-samples/machine-learning-using-k8s,ID1,Applied,162,28952,57,322.0,5,2325,0.157765801077903,5.0
awslabs/mxnet-model-server,ID1,Applied,976,38647,227,1192.0,30,2668,0.4968736973739058,48.0
azure/datasciencevm,ID1,Applied,172,27023,98,378.0,21,2835,0.1477139507620164,21.0
baderlab/saber,ID1,Applied,102,4040,17,559.0,4,2534,0.2493309545049063,4.0
bbfamily/abu,ID1,Applied,11297,96200,3663,69.0,2,3048,0.0247578040904198,2.0
bbva/timecop,ID1,Applied,81,47423,17,105.0,6,2376,0.0496688741721854,6.0
becauseofai/mobileface,ID1,Applied,739,304631,208,70.0,1,2453,0.0319926873857404,1.0
