ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
IXarea/LittleGAN,ID1,Applied,10,130,1,159.0,3,2282,0.1872791519434629,3.0
linbo0518/BLSeg,ID1,Applied,38,1170,3,174.0,1,2135,0.1156914893617021,1.0
ixarchakos/nba-games,ID1,Applied,11,3856,2,56.0,1,2987,0.0205882352941176,1.0
liuxinhai/Point2Sequence,ID1,Applied,38,154,7,23.0,2,2144,0.0123390557939914,1.0
gsurma/face_generator,ID1,Applied,200,9783,70,10.0,1,2173,0.0052493438320209,1.0
gsurma/text_predictor,ID1,Applied,116,130571,35,54.0,2,2301,0.0274250888776028,2.0
gsurma/cartpole,ID1,Applied,149,1087,115,17.0,2,2350,0.0081495685522531,2.0
gsurma/image_generator,ID1,Applied,216,18369,82,13.0,1,2195,0.0068855932203389,1.0
alex04072000/CyclicGen,ID1,Applied,157,504,25,44.0,1,2271,0.022964509394572,1.0
wctu/SEAL,ID1,Applied,93,7442,14,41.0,1,2347,0.0200488997555012,1.0
dougsm/ggcnn,ID1,Applied,468,48,141,24.0,2,2451,0.0109990834097158,2.0
Abhishekmamidi123/Time-Series-Forecasting,ID1,Applied,32,59716,18,87.0,1,2284,0.0455259026687598,1.0
domschl/tensor-poet,ID1,Applied,11,23571,2,253.0,1,2916,0.0968606431852986,1.0
afperezm/acoustic-images-distillation,ID1,Applied,20,46,3,16.0,1,2115,0.0086720867208672,1.0
vkuznet/MLaaS4HEP,ID1,Applied,9,4742,10,219.0,1,2267,0.140745501285347,1.0
quantumiracle/SOTA-RL-Algorithms,ID2,Applied,987,49223,116,236.0,3,2106,0.1279132791327913,3.0
vietnguyen91/Super-mario-bros-A3C-pytorch,ID1,Applied,1009,405130,228,46.0,1,2066,0.0255555555555555,1.0
vietnguyen91/QuickDraw,ID1,Applied,881,147040,171,11.0,1,2184,0.0057202288091523,1.0
SanjayKhatwani/Handwritten-Math-Expression-Recognition,ID1,Applied,21,243,3,13.0,1,2514,0.0057958091841284,1.0
JustGlowing/minisom,ID1,Applied,1389,18042,415,592.0,21,4222,0.1494572077758142,22.0
hlzz/mirror,ID1,Applied,54,4501,12,15.0,2,2250,0.0080428954423592,2.0
hlzz/DeepMatchVO,ID1,Applied,197,1358,34,10.0,1,2168,0.0053792361484669,1.0
mks0601/PoseFix_RELEASE,ID1,Applied,327,2631,64,38.0,1,2146,0.0203535083020889,1.0
Oslandia/osm-data-classification,ID1,Applied,24,112778,6,421.0,1,2691,0.1979313587212035,1.0
liuziwei7/voxel-flow,ID1,Applied,213,29450,50,18.0,1,2544,0.0079225352112676,1.0
dair-iitd/BossNet,ID1,Applied,16,285,3,148.0,1,2151,0.1861635220125786,1.0
sugyan/tf-face-recognizer,ID1,Applied,86,184,52,242.0,1,3315,0.0814814814814814,1.0
HoloClean/holoclean,ID1,Applied,511,8482,129,266.0,10,2267,0.1331331331331331,10.0
CBNU-Nnet/Artificial_Intelligence,ID1,Applied,4,3139,0,31.0,2,2128,0.0483619344773791,2.0
angetato/Optimizers-for-Tensorflow,ID1,Applied,22,1574,6,47.0,1,2538,0.0238821138211382,1.0
weiaicunzai/pytorch-cifar100,ID1,Applied,4000,543,1138,243.0,2,2833,0.0944790046656298,2.0
phohenecker/pytorch-transformer,ID1,Applied,57,61,10,37.0,1,2276,0.0186585980837115,1.0
NCBI-Hackathons/Semantic-search-log-analysis-pipeline,ID1,Applied,14,28467,3,132.0,6,2338,0.0719738276990185,6.0
KaleabTessera/ICOOmen_ML_Model,ID1,Applied,9,225972,3,37.0,2,2257,0.0220500595947556,2.0
Tixierae/graph_2D_CNN,ID1,Applied,75,1685,25,23.0,2,2736,0.0093877551020408,2.0
Ha0Tang/AttentionGAN,ID2,Applied,621,216835,95,229.0,2,2025,0.1298922291548497,2.0
Ha0Tang/GestureGAN,ID2,Applied,173,13297,20,180.0,1,2360,0.09009009009009,1.0
kimhc6028/relational-networks,ID1,Applied,806,59303,162,99.0,6,2786,0.0402275497765136,6.0
